NDB_No,Shrt_Desc,Water_(g),Energ_Kcal,Protein_(g),Lipid_Tot_(g),Ash_(g),Carbohydrt_(g),Fiber_TD_(g),Sugar_Tot_(g),Calcium_(mg),Iron_(mg),Magnesium_(mg),Phosphorus_(mg),Potassium_(mg),Sodium_(mg),Zinc_(mg),Copper_mg),Manganese_(mg),Selenium_(µg),Vit_C_(mg),Thiamin_(mg),Riboflavin_(mg),Niacin_(mg),Panto_Acid_mg),Vit_B6_(mg),Folate_Tot_(µg),Folic_Acid_(µg),Food_Folate_(µg),Folate_DFE_(µg),Choline_Tot_ (mg),Vit_B12_(µg),Vit_A_IU,Vit_A_RAE,Retinol_(µg),Alpha_Carot_(µg),Beta_Carot_(µg),Beta_Crypt_(µg),Lycopene_(µg),Lut+Zea_ (µg),Vit_E_(mg),Vit_D_µg,Vit_D_IU,Vit_K_(µg),FA_Sat_(g),FA_Mono_(g),FA_Poly_(g),Cholestrl_(mg),GmWt_1,GmWt_Desc1,GmWt_2,GmWt_Desc2,Refuse_Pct,Based
15164,"MUSSEL,BLUE,RAW",80.58,86,11.9,2.24,1.59,3.69,0,0,26,3.95,34,197,320,286,1.6,0.094,3.4,44.8,8,0.16,0.21,1.6,0.5,0.05,42,0,42,42,65,12,160,48,48,0,0,0,0,0,0.55,0,0,0.1,0.425,0.507,0.606,28,150,1 cup,28.35,1 oz,0,0
15165,"MUSSEL,BLUE,CKD,MOIST HEAT",61.15,172,23.8,4.48,3.18,7.39,0,,33,6.72,37,285,268,369,2.67,0.149,6.8,89.6,13.6,0.3,0.42,3,0.95,0.1,76,0,76,76,,24,304,91,91,,,,,,,,,,0.85,1.014,1.212,56,85,3 oz,,,0,0
15166,"OCTOPUS,COMMON,RAW",80.25,82,14.91,1.04,1.6,2.2,0,0,53,5.3,30,186,350,230,1.68,0.435,0.025,44.8,5,0.03,0.04,2.1,0.5,0.36,16,0,16,16,65,20,150,45,45,0,0,0,0,0,1.2,0,0,0.1,0.227,0.162,0.239,48,85,3 oz,,,0,0
15167,"OYSTER,EASTERN,WILD,RAW",89.04,51,5.71,1.71,0.82,2.72,0,0.62,59,4.61,18,97,156,85,39.3,2.858,0.296,19.7,0,0.018,0.09,0.925,0.223,0.031,7,0,7,7,65,8.75,44,13,13,0,0,0,0,0,0.85,0,1,1,0.474,0.253,0.528,40,84,6 medium,248,1 cup,0,0
15168,"OYSTER,EASTERN,CKD,BREADED&FRIED",64.72,199,8.77,12.58,1.72,11.62,,,62,6.95,58,159,244,417,87.13,4.294,0.49,66.5,3.8,0.15,0.202,1.65,0.27,0.064,31,17,14,43,,15.63,302,90,,,,,,,,,,,3.197,4.702,3.313,71,85,3 oz,88,6 medium,0,0
15169,"OYSTER,EASTERN,WILD,CKD,MOIST HEAT",78.19,102,11.42,3.42,1.53,5.45,0,1.23,116,9.21,35,194,139,166,78.6,5.707,0.591,39.5,0,0.036,0.18,1.85,0.447,0.061,14,0,14,14,130,17.5,88,26,26,0,0,0,0,0,1.7,0,2,2,0.948,0.506,1.056,79,85,3 oz,42,6 medium,0,0
15170,"OYSTER,EASTERN,CANNED",85.14,68,7.06,2.47,1.42,3.91,0,0,45,6.7,54,139,229,112,90.95,4.461,0.45,35.8,5,0.15,0.166,1.244,0.18,0.095,9,0,9,9,81,19.13,300,90,90,0,0,0,0,0,0.85,0,1,0.1,0.631,0.25,0.739,55,85,3 oz,248,"1 cup,  undrained",0,0
15171,"OYSTER,PACIFIC,RAW",82.06,81,9.45,2.3,1.23,4.95,0,,8,5.11,22,162,168,106,16.62,1.576,0.643,77,8,0.067,0.233,2.01,0.5,0.05,10,0,10,10,,16,270,81,81,,,,,,,,,,0.51,0.358,0.894,50,50,1 medium,85,3 oz,0,0
15172,"SCALLOP,MIXED SPECIES,RAW",82.53,69,12.06,0.49,1.74,3.18,0,0,6,0.38,22,334,205,392,0.91,0.023,0.017,12.8,0,0.007,0.015,0.703,0.215,0.073,16,0,16,16,65,1.41,3,1,1,0,0,0,0,0,0,0,1,0,0.128,0.048,0.13,24,30,"1 unit,  2 large or 5 small",85,3 oz,0,0
15173,"SCALLOP,MXD SP,CKD,BREADED&FRIED",58.44,216,18.07,10.94,1.83,10.13,,,42,0.82,59,236,333,464,1.06,0.078,0.14,26.9,2.3,0.042,0.11,1.505,0.2,0.14,37,19,18,50,,1.32,75,22,,,,,,,,,,,2.669,4.498,2.856,54,31,2 large,,,0,0
